company_id,from_year,to_year,previous_pattern,current_pattern
LICI,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
LICI,Mar 2021,Mar 2022,Liquidating Assets,Distress Signal
LICI,Mar 2022,Mar 2023,Distress Signal,Reinvestor
LODHA,Mar 2016,Mar 2017,Mixed,Reinvestor
LODHA,Mar 2017,Mar 2018,Reinvestor,Mixed
LODHA,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
LODHA,Mar 2019,Mar 2020,Growth Funded by Debt,Liquidating Assets
LODHA,Mar 2023,Mar 2024,Liquidating Assets,Mixed
LT,Mar 2016,Mar 2017,Growth Funded by Debt,Mixed
LT,Mar 2017,Mar 2018,Mixed,Distress Signal
LT,Mar 2018,Mar 2019,Distress Signal,Growth Funded by Debt
