company_id,from_year,to_year,previous_pattern,current_pattern
TCS,Mar-17,Mar-18,Reinvestor,Liquidating Assets
TCS,Mar-20,Mar-21,Liquidating Assets,Reinvestor
TCS,Mar-22,Mar-23,Reinvestor,Liquidating Assets
TCS,Mar-24,Mar 2013,Liquidating Assets,Reinvestor
TCS,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
TCS,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TCS,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
TECHM,Mar 2013,Mar 2014,Mixed,Liquidating Assets
TECHM,Mar 2014,Mar 2015,Liquidating Assets,Reinvestor
TECHM,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
TECHM,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TECHM,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
TECHM,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
TITAN,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
TITAN,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
TITAN,Mar 2017,Mar 2018,Reinvestor,Other
TITAN,Mar 2018,Mar 2019,Other,Reinvestor
TITAN,Mar 2019,Mar 2020,Reinvestor,Other
TITAN,Mar 2020,Mar 2021,Other,Reinvestor
TITAN,Mar 2021,Mar 2022,Reinvestor,Other
TITAN,Mar 2022,Mar 2023,Other,Mixed
TITAN,Mar 2023,Mar 2024,Mixed,Reinvestor
TORNTPHARM,Mar 2015,Mar 2016,Mixed,Reinvestor
TORNTPHARM,Mar 2017,Mar 2018,Reinvestor,Mixed
TORNTPHARM,Mar 2018,Mar 2019,Mixed,Reinvestor
TORNTPHARM,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
TORNTPHARM,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
TORNTPHARM,Mar 2022,Mar 2023,Reinvestor,Mixed
TORNTPHARM,Mar 2023,Mar 2024,Mixed,Reinvestor
TRENT,Mar 2013,Mar 2014,Mixed,Pre-Revenue
TRENT,Mar 2014,Mar 2015,Pre-Revenue,Growth Funded by Debt
TRENT,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
TRENT,Mar 2018,Mar 2019,Reinvestor,Mixed
TRENT,Mar 2020,Mar 2021,Mixed,Liquidating Assets
TRENT,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
TVSMOTOR,Mar 2014,Mar 2015,Reinvestor,Mixed
TVSMOTOR,Mar 2015,Mar 2016,Mixed,Reinvestor
TVSMOTOR,Mar 2017,Mar 2018,Reinvestor,Mixed
TVSMOTOR,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
TVSMOTOR,Mar 2019,Mar 2020,Growth Funded by Debt,Mixed
TVSMOTOR,Mar 2021,Mar 2022,Mixed,Growth Funded by Debt
